ID,Title,study period,country,Species (English name),Species (scientific name),subject type,toxicant specific,toxicant group,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal specific,sublethal type,Notes,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,d-HCH,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.45,NA,NA,0.03,0.78,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Aldrin,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.26,NA,NA,0.03,3.94,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Dieldrin,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.14,NA,NA,0.04,1.79,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Endrin,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.11,NA,NA,0.05,0.79,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Heptachlor,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,1.14,NA,NA,0.65,2.24,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Heptachlor epoxide,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.3,NA,NA,0.04,1.12,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,Chlordane,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.08,NA,NA,0.04,0.88,ng/g,wet,no,none,none,Toxicant referred to as y-chlordane,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,endosulfan I,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.48,NA,NA,0.04,3.89,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,endosulfan II,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.21,NA,NA,0.05,1.82,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,endosulfan sulfate,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,2.48,NA,NA,0.62,10.42,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,"p,p?-DDT",organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.13,NA,NA,0.06,0.98,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,"p,p?-DDD",organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,0.63,NA,NA,0.05,2.26,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,"p,p?-DDE",organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,3.82,NA,NA,1.52,10.59,ng/g,wet,no,none,none,,,
164,Organochlorine residues in blo,2003-2005,Greece,Griffon Vulture,Gyps fulvus,wild,total organochlorine insecticides,organochlorine insecticides,blood,NA,15,NA,NA,unknown/mixed,unknown/mixed,geometric mean,18.15,NA,NA,9.42,45.27,ng/g,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,DDE,organochlorine insecticides,brain,NA,11,NA,0.36,unknown/mixed,unknown/mixed,arithmetic mean,1.68,0.005,NA,0.14,4.13,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,DDE,organochlorine insecticides,fat,NA,6,NA,0.17,unknown/mixed,unknown/mixed,arithmetic mean,8.3,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,DDE,organochlorine insecticides,liver,NA,12,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,2.75,0.005,NA,0.6,5.4,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,DDE,organochlorine insecticides,breast,NA,13,NA,0.39,unknown/mixed,unknown/mixed,arithmetic mean,2.44,0.005,NA,0.3,8.43,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,DDE,organochlorine insecticides,heart,NA,11,NA,0.36,unknown/mixed,unknown/mixed,arithmetic mean,1.96,0.005,NA,1.12,4.02,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,DDE,organochlorine insecticides,brain,NA,14,NA,0.86,unknown/mixed,unknown/mixed,arithmetic mean,2.38,0.005,NA,0.004,10.21,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,DDE,organochlorine insecticides,fat,NA,4,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,38.72,0.005,NA,0.06,123.47,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,DDE,organochlorine insecticides,liver,NA,16,NA,0.44,unknown/mixed,unknown/mixed,arithmetic mean,2.8,0.005,NA,0.04,10.52,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,DDE,organochlorine insecticides,breast,NA,15,NA,0.73,unknown/mixed,unknown/mixed,arithmetic mean,4.48,0.005,NA,0.04,18.49,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,DDE,organochlorine insecticides,heart,NA,15,NA,0.47,unknown/mixed,unknown/mixed,arithmetic mean,1.97,0.005,NA,0.04,8.5,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Dieldrin,organochlorine insecticides,brain,NA,11,NA,0.73,unknown/mixed,unknown/mixed,arithmetic mean,0.16,0.005,NA,0.02,0.99,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Dieldrin,organochlorine insecticides,fat,NA,6,NA,0.83,unknown/mixed,unknown/mixed,arithmetic mean,28.81,0.005,NA,1.41,132.121,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Dieldrin,organochlorine insecticides,liver,NA,12,NA,0.75,unknown/mixed,unknown/mixed,arithmetic mean,0.82,0.005,NA,0.02,3.74,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Dieldrin,organochlorine insecticides,breast,NA,13,NA,0.77,unknown/mixed,unknown/mixed,arithmetic mean,0.25,0.005,NA,0.005,1.42,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Dieldrin,organochlorine insecticides,heart,NA,11,NA,0.82,unknown/mixed,unknown/mixed,arithmetic mean,0.88,0.005,NA,0.02,4.22,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Dieldrin,organochlorine insecticides,brain,NA,14,NA,0.79,unknown/mixed,unknown/mixed,arithmetic mean,1.12,0.005,NA,0.03,5.42,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Dieldrin,organochlorine insecticides,fat,NA,4,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,14.22,0.005,NA,0.7,32,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Dieldrin,organochlorine insecticides,liver,NA,16,NA,0.94,unknown/mixed,unknown/mixed,arithmetic mean,0.57,0.005,NA,0.004,5.57,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Dieldrin,organochlorine insecticides,breast,NA,15,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,1.1,0.005,NA,0.01,7.27,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Dieldrin,organochlorine insecticides,heart,NA,15,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.24,0.005,NA,0.03,0.52,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Heptachlor Epoxide,organochlorine insecticides,brain,NA,11,NA,0.55,unknown/mixed,unknown/mixed,arithmetic mean,0.11,0.005,NA,0.01,0.41,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Heptachlor Epoxide,organochlorine insecticides,fat,NA,6,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,5.48,0.005,NA,0.8,10.16,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Heptachlor Epoxide,organochlorine insecticides,liver,NA,12,NA,0.67,unknown/mixed,unknown/mixed,arithmetic mean,0.45,0.005,NA,0.01,1.4,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Heptachlor Epoxide,organochlorine insecticides,breast,NA,13,NA,0.54,unknown/mixed,unknown/mixed,arithmetic mean,0.13,0.005,NA,0.01,0.73,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Heptachlor Epoxide,organochlorine insecticides,heart,NA,11,NA,0.55,unknown/mixed,unknown/mixed,arithmetic mean,0.04,0.005,NA,0.02,0.09,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Heptachlor Epoxide,organochlorine insecticides,brain,NA,14,NA,0.36,unknown/mixed,unknown/mixed,arithmetic mean,0.5,0.005,NA,0.02,1.09,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Heptachlor Epoxide,organochlorine insecticides,fat,NA,4,NA,0.67,unknown/mixed,unknown/mixed,arithmetic mean,1.59,0.005,NA,0.15,3.04,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Heptachlor Epoxide,organochlorine insecticides,liver,NA,16,NA,0.13,unknown/mixed,unknown/mixed,arithmetic mean,0.32,0.005,NA,0.13,0.51,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Heptachlor Epoxide,organochlorine insecticides,breast,NA,15,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,1.11,0.005,NA,0.01,4,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Heptachlor Epoxide,organochlorine insecticides,heart,NA,15,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.25,0.005,NA,0.02,0.51,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Total PCBs,PCB,brain,NA,11,NA,0.09,unknown/mixed,unknown/mixed,arithmetic mean,3.26,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Total PCBs,PCB,fat,NA,6,NA,0.17,unknown/mixed,unknown/mixed,arithmetic mean,487.8,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Total PCBs,PCB,liver,NA,12,NA,0.08,unknown/mixed,unknown/mixed,arithmetic mean,6.91,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Total PCBs,PCB,breast,NA,13,NA,0.08,unknown/mixed,unknown/mixed,arithmetic mean,2.39,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Barred Owl,Strix varia,wild,Total PCBs,PCB,heart,NA,11,NA,0.18,unknown/mixed,unknown/mixed,arithmetic mean,3.69,0.005,NA,0.02,7.36,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Total PCBs,PCB,brain,NA,14,NA,0.07,unknown/mixed,unknown/mixed,arithmetic mean,13.1,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Total PCBs,PCB,fat,NA,4,NA,0.25,unknown/mixed,unknown/mixed,arithmetic mean,16.17,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Total PCBs,PCB,liver,NA,16,NA,0.19,unknown/mixed,unknown/mixed,arithmetic mean,46.81,0.005,NA,8.66,97.52,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Total PCBs,PCB,breast,NA,15,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,25.29,0.005,NA,0.004,105.7,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Great Horned Owl,Bubo virginianus,wild,Total PCBs,PCB,heart,NA,15,NA,0.2,unknown/mixed,unknown/mixed,arithmetic mean,10.82,0.005,NA,0.37,22.1,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,DDE,organochlorine insecticides,brain,NA,7,NA,0.71,unknown/mixed,unknown/mixed,arithmetic mean,2.4,0.005,NA,0.06,10.5,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,DDE,organochlorine insecticides,fat,NA,4,NA,0.75,unknown/mixed,unknown/mixed,arithmetic mean,14.07,0.005,NA,9.82,22.52,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,DDE,organochlorine insecticides,liver,NA,10,NA,0.6,unknown/mixed,unknown/mixed,arithmetic mean,3.97,0.005,NA,0.01,22.27,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,DDE,organochlorine insecticides,breast,NA,8,NA,0.88,unknown/mixed,unknown/mixed,arithmetic mean,0.59,0.005,NA,0.01,1.59,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,DDE,organochlorine insecticides,heart,NA,9,NA,0.56,unknown/mixed,unknown/mixed,arithmetic mean,1.46,0.005,NA,0.4,3.79,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Dieldrin,organochlorine insecticides,brain,NA,7,NA,0.57,unknown/mixed,unknown/mixed,arithmetic mean,1.19,0.005,NA,0.1,3.001,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Dieldrin,organochlorine insecticides,fat,NA,4,NA,0.5,unknown/mixed,unknown/mixed,arithmetic mean,0.41,0.005,NA,0.05,0.77,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Dieldrin,organochlorine insecticides,liver,NA,10,NA,0.7,unknown/mixed,unknown/mixed,arithmetic mean,0.4,0.005,NA,0.01,0.711,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Dieldrin,organochlorine insecticides,breast,NA,8,NA,0.5,unknown/mixed,unknown/mixed,arithmetic mean,0.53,0.005,NA,0.02,0.94,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Dieldrin,organochlorine insecticides,heart,NA,9,NA,0.5,unknown/mixed,unknown/mixed,arithmetic mean,0.69,0.005,NA,0.04,2.41,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Heptachlor Epoxide,organochlorine insecticides,brain,NA,7,NA,0.14,unknown/mixed,unknown/mixed,arithmetic mean,0.42,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Heptachlor Epoxide,organochlorine insecticides,fat,NA,4,NA,0.25,unknown/mixed,unknown/mixed,arithmetic mean,0.11,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Heptachlor Epoxide,organochlorine insecticides,liver,NA,10,NA,0.4,unknown/mixed,unknown/mixed,arithmetic mean,0.44,0.005,NA,0.02,0.83,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Heptachlor Epoxide,organochlorine insecticides,breast,NA,8,NA,0.13,unknown/mixed,unknown/mixed,arithmetic mean,0.44,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Heptachlor Epoxide,organochlorine insecticides,heart,NA,9,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.29,0.005,NA,0.08,0.54,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Total PCBs,PCB,fat,NA,4,NA,0.25,unknown/mixed,unknown/mixed,arithmetic mean,104.36,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Total PCBs,PCB,liver,NA,10,NA,0.1,unknown/mixed,unknown/mixed,arithmetic mean,3.81,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Eastern Screech-owl,Megascops asio,wild,Total PCBs,PCB,breast,NA,8,NA,0.2,unknown/mixed,unknown/mixed,arithmetic mean,0.13,0.005,NA,0.12,0.13,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,DDE,organochlorine insecticides,brain,NA,4,NA,0.25,unknown/mixed,unknown/mixed,arithmetic mean,0.36,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,DDE,organochlorine insecticides,liver,NA,3,NA,0.67,unknown/mixed,unknown/mixed,arithmetic mean,28.14,0.005,NA,0.54,55.74,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,DDE,organochlorine insecticides,breast,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,1.61,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,DDE,organochlorine insecticides,heart,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,214.97,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Dieldrin,organochlorine insecticides,brain,NA,4,NA,0.75,unknown/mixed,unknown/mixed,arithmetic mean,0.33,0.005,NA,0.0002,0.96,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Dieldrin,organochlorine insecticides,liver,NA,3,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.07,0.005,NA,0.004,0.21,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Dieldrin,organochlorine insecticides,breast,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.19,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Dieldrin,organochlorine insecticides,heart,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.7,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Heptachlor Epoxide,organochlorine insecticides,brain,NA,4,NA,0.5,unknown/mixed,unknown/mixed,arithmetic mean,0.52,0.005,NA,0.08,0.97,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Heptachlor Epoxide,organochlorine insecticides,liver,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.01,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Heptachlor Epoxide,organochlorine insecticides,breast,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,0.11,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Total PCBs,PCB,brain,NA,4,NA,0.25,unknown/mixed,unknown/mixed,arithmetic mean,1.96,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Long-eared Owl,Asio otus,wild,Total PCBs,PCB,liver,NA,3,NA,0.33,unknown/mixed,unknown/mixed,arithmetic mean,7.22,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Short-eared Owl,Asio flammeus,wild,Dieldrin,organochlorine insecticides,brain,NA,1,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.1,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Short-eared Owl,Asio flammeus,wild,Dieldrin,organochlorine insecticides,liver,NA,1,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.06,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Short-eared Owl,Asio flammeus,wild,Dieldrin,organochlorine insecticides,breast,NA,1,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.17,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Short-eared Owl,Asio flammeus,wild,Dieldrin,organochlorine insecticides,heart,NA,1,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.09,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
165,Organochlorine and PCB residue,1966-1981,United States of America,Short-eared Owl,Asio flammeus,wild,Heptachlor Epoxide,organochlorine insecticides,heart,NA,1,NA,1,unknown/mixed,unknown/mixed,arithmetic mean,0.06,0.005,NA,NA,NA,ppm,wet,no,none,none,,,
